provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
PAPUA BARAT,2020-03-01,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-02,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-03,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-04,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-05,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-06,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-07,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-08,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-09,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-10,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-11,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-12,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-13,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-14,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-15,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-16,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-17,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-18,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-19,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-20,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-21,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-22,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-23,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-24,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-25,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-26,0,0,0,0,0,0,0,0
PAPUA BARAT,2020-03-27,2,2,0,0,0,0,2,2
PAPUA BARAT,2020-03-28,2,0,0,0,0,0,2,0
PAPUA BARAT,2020-03-29,2,0,0,0,0,0,2,0
